cdom,wvl_400,wvl_406.060606060606,wvl_412.121212121212,wvl_418.181818181818,wvl_424.242424242424,wvl_430.30303030303,wvl_436.363636363636,wvl_442.424242424242,wvl_448.484848484848,wvl_454.545454545454,wvl_460.60606060606,wvl_466.666666666666,wvl_472.727272727272,wvl_478.787878787878,wvl_484.848484848484,wvl_490.90909090909,wvl_496.969696969697,wvl_503.030303030303,wvl_509.090909090909,wvl_515.151515151515,wvl_521.212121212121,wvl_527.272727272727,wvl_533.333333333333,wvl_539.393939393939,wvl_545.454545454545,wvl_551.515151515151,wvl_557.575757575757,wvl_563.636363636363,wvl_569.696969696969,wvl_575.757575757575,wvl_581.818181818181,wvl_587.878787878787,wvl_593.939393939394,wvl_600,wvl_606.060606060606,wvl_612.121212121212,wvl_618.181818181818,wvl_624.242424242424,wvl_630.30303030303,wvl_636.363636363636,wvl_642.424242424242,wvl_648.484848484848,wvl_654.545454545454,wvl_660.60606060606,wvl_666.666666666666,wvl_672.727272727272,wvl_678.787878787878,wvl_684.848484848484,wvl_690.90909090909,wvl_696.969696969697,wvl_703.030303030303,wvl_709.090909090909,wvl_715.151515151515,wvl_721.212121212121,wvl_727.272727272727,wvl_733.333333333333,wvl_739.393939393939,wvl_745.454545454545,wvl_751.515151515151,wvl_757.575757575757,wvl_763.636363636363,wvl_769.696969696969,wvl_775.757575757575,wvl_781.818181818181,wvl_787.878787878787,wvl_793.939393939394,wvl_800,wvl_806.060606060606,wvl_812.121212121212,wvl_818.181818181818,wvl_824.242424242424,wvl_830.30303030303,wvl_836.363636363636,wvl_842.424242424242,wvl_848.484848484848,wvl_854.545454545454,wvl_860.60606060606,wvl_866.666666666666,wvl_872.727272727272,wvl_878.787878787878,wvl_884.848484848484,wvl_890.90909090909,wvl_896.969696969697,wvl_903.030303030303,wvl_909.090909090909,wvl_915.151515151515,wvl_921.212121212121,wvl_927.272727272727,wvl_933.333333333333,wvl_939.393939393939,wvl_945.454545454545,wvl_951.515151515151,wvl_957.575757575757,wvl_963.636363636363,wvl_969.696969696969,wvl_975.757575757575,wvl_981.818181818181,wvl_987.878787878787,wvl_993.939393939393,wvl_1000
0,0.056313938,0.064315565,0.067075249,0.064995716,0.060689261,0.05512891,0.047607857,0.036916959,0.027884316,0.024029789,0.022412059,0.020322543,0.017433666,0.014509303,0.012246179,0.01025504,0.008045216,0.005593009,0.003874804,0.003003305,0.002570112,0.002344089,0.002157711,0.001918422,0.001625594,0.001397619,0.001256791,0.001138887,0.000998516,0.00082635,0.000655581,0.000488333,0.000332577,0.000240799,0.000201428,0.00018292,0.000171343,0.000160375,0.000147455,0.000133519,0.000123402,0.000114167,9.86E-05,8.49E-05,7.79E-05,7.30E-05,6.77E-05,6.19E-05,5.52E-05,4.76E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.005,0.023800614,0.026113095,0.027362431,0.027620559,0.027301959,0.026500579,0.024850038,0.021575741,0.018118715,0.016521294,0.015907329,0.014954282,0.013407961,0.011662435,0.010202244,0.008818956,0.007155251,0.00515734,0.003666943,0.00288195,0.002484774,0.002276322,0.002102995,0.001877199,0.001597382,0.001377787,0.001241577,0.001127048,0.000989895,0.000820758,0.000652251,0.000486586,0.000331811,0.00024042,0.000201179,0.000182726,0.000171183,0.000160243,0.00014735,0.000133438,0.000123337,0.000114115,9.86E-05,8.49E-05,7.79E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.76E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.01,0.014293094,0.015436191,0.016183764,0.01656203,0.016712801,0.016649761,0.016175261,0.014827132,0.013179232,0.012416315,0.012186074,0.011719096,0.010819463,0.009705997,0.008717158,0.007721186,0.006436215,0.004782918,0.00347984,0.002769885,0.002404856,0.002212322,0.00205096,0.001837695,0.001570126,0.001358508,0.001226725,0.001115451,0.000981421,0.000815242,0.000648954,0.000484852,0.000331049,0.000240043,0.00020093,0.000182533,0.000171023,0.000160111,0.000147245,0.000133358,0.000123272,0.000114063,9.85E-05,8.49E-05,7.79E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.76E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.015,0.010013954,0.010721049,0.011235411,0.011570903,0.011795068,0.011908239,0.011791734,0.01115091,0.010262294,0.009872828,0.009812433,0.009582906,0.009031694,0.008287864,0.007594298,0.006857341,0.005844169,0.004457897,0.003310574,0.002666093,0.00232986,0.002151786,0.002001414,0.001799807,0.001543779,0.001339757,0.001212224,0.00110409,0.000973091,0.000809798,0.000645691,0.000483129,0.000330291,0.000239666,0.000200681,0.00018234,0.000170863,0.000159979,0.00014714,0.000133277,0.000123207,0.000114011,9.85E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.02,0.007639609,0.00813404,0.008519065,0.008803474,0.009025957,0.009184362,0.00920112,0.008875784,0.008360109,0.008159548,0.008181268,0.008078559,0.007730662,0.007217406,0.006718308,0.006161371,0.00534884,0.004173259,0.003156742,0.002569699,0.002259351,0.002094443,0.001954184,0.001763438,0.001518297,0.001321515,0.001198059,0.001092957,0.0009649,0.000804427,0.00064246,0.000481419,0.000329536,0.000239291,0.000200433,0.000182147,0.000170704,0.000159848,0.000147036,0.000133196,0.000123142,0.000113959,9.85E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.025,0.006147948,0.006520951,0.006825532,0.007067858,0.007272806,0.007438015,0.007509458,0.007343434,0.007031387,0.006934707,0.00699809,0.006967408,0.006745398,0.006383286,0.006017447,0.005589618,0.004928744,0.003922034,0.00301635,0.002479948,0.002192939,0.002040048,0.001909113,0.001728498,0.001493637,0.001303761,0.00118422,0.001082046,0.000956846,0.000799127,0.000639261,0.000479721,0.000328784,0.000238918,0.000200186,0.000181955,0.000170545,0.000159717,0.000146931,0.000133116,0.000123077,0.000113906,9.84E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.03,0.005130768,0.005426907,0.005677327,0.005886644,0.006072149,0.006231772,0.006326018,0.006247511,0.006055359,0.00601926,0.006104045,0.006116029,0.005975574,0.0057165,0.005444954,0.005112157,0.004568243,0.003698748,0.002887731,0.002396182,0.002130282,0.001988382,0.001866057,0.001694906,0.00146976,0.001286475,0.001170696,0.001071349,0.000948925,0.000793895,0.000636094,0.000478035,0.000328036,0.000238545,0.000199939,0.000181763,0.000170386,0.000159586,0.000146827,0.000133035,0.000123013,0.000113854,9.84E-05,8.48E-05,7.78E-05,7.29E-05,6.76E-05,6.19E-05,5.52E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.035,0.004395729,0.004639554,0.004851346,0.005034715,0.00520237,0.005352595,0.005455416,0.005427903,0.005310402,0.005311121,0.005406545,0.005444487,0.005358763,0.005172185,0.004969142,0.004707842,0.0042557,0.003499052,0.002769479,0.002317828,0.002071072,0.001939245,0.001824884,0.001662586,0.001446631,0.001269639,0.001157477,0.001060862,0.000941133,0.000788732,0.000632958,0.000476361,0.000327291,0.000238173,0.000199693,0.000181571,0.000170228,0.000159455,0.000146723,0.000132955,0.000122948,0.000113802,9.84E-05,8.47E-05,7.78E-05,7.28E-05,6.76E-05,6.19E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.04,0.00384118,0.004047444,0.004230458,0.00439314,0.004545228,0.004685325,0.004789988,0.004793438,0.004724433,0.004748161,0.004848263,0.004902203,0.004854243,0.004720006,0.004567835,0.004361332,0.003982289,0.003319442,0.002660403,0.002244381,0.002015034,0.001892458,0.001785475,0.001631467,0.001424214,0.001253236,0.001144551,0.001050576,0.000933468,0.000783635,0.000629853,0.000474698,0.00032655,0.000237803,0.000199448,0.00018138,0.00017007,0.000159324,0.000146619,0.000132874,0.000122883,0.00011375,9.83E-05,8.47E-05,7.77E-05,7.28E-05,6.76E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.12E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.045,0.003408665,0.003586828,0.00374766,0.003893578,0.004032288,0.004162652,0.004265891,0.004288663,0.004252212,0.004290555,0.004391944,0.004455723,0.004434396,0.004338765,0.00422508,0.00406125,0.003741198,0.003157071,0.002559485,0.002175398,0.001961922,0.001847857,0.00174772,0.001601484,0.001402478,0.00123725,0.00113191,0.001040488,0.000925926,0.000778604,0.000626778,0.000473047,0.000325812,0.000237434,0.000199203,0.00018119,0.000169912,0.000159194,0.000146515,0.000132794,0.000122819,0.000113699,9.83E-05,8.47E-05,7.77E-05,7.28E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.05,0.003062316,0.003218764,0.003362025,0.003494142,0.003621369,0.003742779,0.003843021,0.003878044,0.003864003,0.003911673,0.004012396,0.004082095,0.004079876,0.004013233,0.003929124,0.003798985,0.003527096,0.0030096,0.002465851,0.002110489,0.001911514,0.001805293,0.001711517,0.001572576,0.001381392,0.001221665,0.001119544,0.001030591,0.000918505,0.000773637,0.000623732,0.000471407,0.000325077,0.000237066,0.000198959,0.000180999,0.000169754,0.000159064,0.000146411,0.000132714,0.000122755,0.000113647,9.82E-05,8.47E-05,7.77E-05,7.28E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.055,0.002778962,0.002918186,0.003047215,0.003167804,0.003285138,0.003398456,0.003494998,0.003537816,0.003539505,0.003593077,0.00369201,0.003765082,0.003776751,0.003732202,0.003671128,0.003567911,0.00333575,0.002875091,0.002378748,0.002049304,0.00186361,0.001764631,0.001676772,0.001544687,0.001360927,0.001206466,0.001107444,0.00102088,0.000911202,0.000768732,0.000620717,0.000469779,0.000324346,0.000236699,0.000198715,0.000180809,0.000169597,0.000158934,0.000146308,0.000132634,0.00012269,0.000113595,9.82E-05,8.46E-05,7.77E-05,7.28E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.06,0.002543003,0.002668264,0.002785551,0.002896388,0.003005147,0.003111202,0.003203796,0.003251521,0.003264411,0.003321614,0.003418129,0.00349289,0.003514747,0.003487252,0.003444326,0.003362848,0.003163759,0.002751925,0.002297522,0.001991535,0.00181803,0.001725747,0.001643401,0.001517764,0.001341056,0.001191638,0.001095602,0.00101135,0.000904013,0.000763889,0.00061773,0.000468162,0.000323618,0.000236333,0.000198472,0.00018062,0.00016944,0.000158804,0.000146204,0.000132554,0.000122626,0.000113543,9.82E-05,8.46E-05,7.77E-05,7.28E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.065,0.00234356,0.002457299,0.002564743,0.002667235,0.002768514,0.002868062,0.002956698,0.003007419,0.003028362,0.003087665,0.003181433,0.003256756,0.003286134,0.00327194,0.003243453,0.003179693,0.003008364,0.002638741,0.002221602,0.001936905,0.001774608,0.001688528,0.001611323,0.001491757,0.001321755,0.00117717,0.001084009,0.001001995,0.000896937,0.000759107,0.000614772,0.000466556,0.000322893,0.000235968,0.00019823,0.000180431,0.000169283,0.000158675,0.000146101,0.000132474,0.000122562,0.000113491,9.81E-05,8.46E-05,7.76E-05,7.27E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.07,0.002172831,0.002276913,0.002375997,0.002471274,0.002565985,0.002659697,0.00274449,0.002796918,0.002823684,0.00288404,0.002974916,0.003050045,0.003084985,0.003081258,0.003064356,0.003015153,0.002867298,0.002534384,0.002150488,0.001885168,0.001733198,0.001652869,0.001580465,0.001466622,0.001302998,0.001163047,0.001072659,0.000992811,0.00088997,0.000754384,0.000611842,0.00046496,0.000322171,0.000235605,0.000197988,0.000180242,0.000169127,0.000158545,0.000145998,0.000132395,0.000122498,0.00011344,9.81E-05,8.46E-05,7.76E-05,7.27E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.075,0.002025073,0.002120956,0.002212855,0.00230184,0.002390745,0.00247921,0.002560338,0.002613593,0.002644573,0.002705261,0.002793211,0.002867638,0.002906687,0.002911255,0.002903716,0.00286656,0.00273869,0.00243787,0.002083743,0.001836101,0.001693662,0.001618675,0.00155076,0.001442315,0.001284765,0.001149257,0.001061543,0.000983794,0.000883111,0.000749719,0.000608939,0.000463376,0.000321453,0.000235242,0.000197747,0.000180054,0.000168971,0.000158416,0.000145895,0.000132315,0.000122434,0.000113388,9.81E-05,8.45E-05,7.76E-05,7.27E-05,6.75E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.08,0.001895973,0.001984813,0.002070477,0.002153928,0.002237671,0.002321403,0.002399073,0.002452548,0.002486565,0.002547086,0.002632145,0.00270553,0.002747594,0.002758775,0.002758849,0.002731727,0.002620974,0.002348355,0.002020978,0.001789503,0.001655877,0.001585857,0.001522143,0.001418796,0.001267031,0.00113579,0.001050654,0.000974938,0.000876356,0.000745112,0.000606065,0.000461803,0.000320738,0.000234881,0.000197506,0.000179866,0.000168815,0.000158288,0.000145792,0.000132235,0.00012237,0.000113337,9.80E-05,8.45E-05,7.76E-05,7.27E-05,6.74E-05,6.18E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.085,0.001782227,0.001864958,0.001945161,0.002023712,0.002102838,0.002182289,0.002256711,0.002309987,0.002346169,0.002406178,0.002488422,0.002560545,0.002604794,0.002621269,0.002627565,0.002608846,0.002512837,0.00226511,0.001961851,0.001745194,0.00161973,0.001554336,0.001494558,0.001396027,0.001249779,0.001122633,0.001039985,0.00096624,0.000869704,0.00074056,0.000603217,0.00046024,0.000320026,0.000234521,0.000197266,0.000179678,0.00016866,0.000158159,0.000145689,0.000132156,0.000122306,0.000113285,9.80E-05,8.45E-05,7.76E-05,7.27E-05,6.74E-05,6.17E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
0.09,0.001681266,0.001758651,0.001834034,0.001908215,0.001983193,0.002058755,0.002130139,0.002182927,0.002220619,0.00227988,0.00235941,0.002430131,0.002475929,0.002496656,0.002508057,0.002496411,0.002413167,0.002187505,0.001906055,0.001703011,0.001585117,0.001524036,0.001467949,0.001373974,0.001232988,0.001109776,0.001029531,0.000957696,0.000863151,0.000736064,0.000600395,0.000458688,0.000319317,0.000234161,0.000197027,0.000179491,0.000168504,0.00015803,0.000145587,0.000132077,0.000122242,0.000113234,9.80E-05,8.45E-05,7.75E-05,7.27E-05,6.74E-05,6.17E-05,5.51E-05,4.75E-05,3.99E-05,3.22E-05,2.46E-05,1.85E-05,1.42E-05,1.10E-05,9.11E-06,8.42E-06,8.09E-06,7.64E-06,7.32E-06,7.19E-06,7.18E-06,7.27E-06,7.43E-06,7.52E-06,7.39E-06,6.89E-06,6.02E-06,4.94E-06,3.87E-06,2.95E-06,2.22E-06,1.67E-06,1.27E-06,9.71E-07,7.53E-07,5.90E-07,4.68E-07,3.76E-07,3.04E-07,2.49E-07,2.05E-07,1.71E-07,1.43E-07,1.21E-07,1.03E-07,8.77E-08,7.53E-08,6.50E-08,5.63E-08,4.91E-08,4.29E-08,3.76E-08,3.32E-08,2.93E-08,2.60E-08,2.31E-08,2.06E-08,1.84E-08
